0.500398 0.516
0.499095 0.5245
0.499032 0.521
0.499083 0.5245
0.499324 0.5235
0.499065 0.521
0.49905 0.518
0.499065 0.512
0.499208 0.518
0.499024 0.51
0.499382 0.533
0.499161 0.5125
0.498986 0.528
0.499 0.5055
0.498997 0.5245
0.499031 0.5195
0.498889 0.5155
0.498951 0.5195
0.499033 0.5095
0.499075 0.5235
0.49905 0.5205
0.49892 0.517
0.498956 0.514
0.49886 0.5195
0.498935 0.5175
0.49909 0.5105
0.498872 0.5125
0.498872 0.521
0.498837 0.521
0.498862 0.5175
0.499026 0.5185
0.498808 0.519
0.498829 0.5235
0.498834 0.5235
0.498874 0.516
0.498815 0.526
0.498724 0.534
0.49884 0.527
0.498804 0.5195
0.498888 0.5055
0.498721 0.514
0.498763 0.5225
0.498703 0.52
0.498729 0.524
0.498716 0.53
0.499212 0.5165
0.498716 0.5185
0.498784 0.513
0.498882 0.524
0.498768 0.5305
0.498765 0.525
0.498675 0.5315
0.498713 0.507
0.498899 0.521
0.498566 0.527
0.498694 0.5245
0.498558 0.526
0.499101 0.5175
0.498664 0.522
0.498594 0.519
0.498761 0.5115
0.498619 0.517
0.498597 0.5395
0.498654 0.536
0.498572 0.534
0.49865 0.515
0.498475 0.5285
0.498495 0.526
0.498472 0.532
0.498502 0.5225
0.498492 0.531
0.49835 0.534
0.498364 0.534
0.498578 0.5265
0.498527 0.525
0.498397 0.5225
0.498304 0.5245
0.498477 0.5255
0.498446 0.5265
0.498344 0.526
0.498244 0.528
0.498301 0.535
0.498738 0.509
0.498378 0.5305
0.498216 0.5345
0.498285 0.5315
0.498386 0.534
0.498116 0.5345
0.498057 0.528
0.498192 0.5285
0.497983 0.533
0.498276 0.52
0.497923 0.533
0.497884 0.5395
0.498153 0.5495
0.498146 0.539
0.498316 0.5235
0.497948 0.529
0.498054 0.537
0.497827 0.5405
